Spotify most streamed songs of all time,,
,,
Artist and Title,Streams,Daily
The Weeknd - Blinding Lights,"4,831,851,921","1,312,604"
Ed Sheeran - Shape of You,"4,352,517,815","1,442,822"
Lewis Capaldi - Someone You Loved,"3,898,082,674","1,158,633"
The Weeknd - Starboy,"3,884,332,552","1,523,184"
Harry Styles - As It Was,"3,869,890,120","1,221,116"
Post Malone - Sunflower,"3,808,514,470","1,201,198"
The Neighbourhood - Sweater Weather,"3,762,051,363","2,026,916"
Drake - One Dance,"3,626,409,044","1,111,846"
The Kid LAROI - STAY,"3,545,931,280","791,191"
Ed Sheeran - Perfect,"3,426,691,939","1,360,611"
Imagine Dragons - Believer,"3,424,730,287","1,156,501"
Glass Animals - Heat Waves,"3,377,115,720","1,064,736"
Billie Eilish - lovely,"3,304,019,641","1,186,343"
The Chainsmokers - Closer,"3,258,498,955","1,110,187"
Tones And I - Dance Monkey,"3,256,626,605","571,270"
James Arthur - Say You Won't Let Go,"3,252,351,840","995,862"
Post Malone - rockstar,"3,172,139,024","536,546"
The Chainsmokers - Something Just Like This,"3,146,817,346","1,373,124"
Vance Joy - Riptide,"3,091,343,975","1,412,681"
Arctic Monkeys - I Wanna Be Yours,"3,025,099,484","2,133,313"
Hozier - Take Me To Church,"3,022,163,595","1,323,126"
Tom Odell - Another Love,"3,014,425,551","1,513,690"
Coldplay - Yellow,"3,009,850,264","1,844,837"
Harry Styles - Watermelon Sugar,"3,005,250,016","657,677"
Shawn Mendes - Señorita,"3,000,949,272","758,613"
Lord Huron - The Night We Met,"2,973,391,268","2,134,934"
OneRepublic - Counting Stars,"2,954,466,079","1,503,983"
Ed Sheeran - Photograph,"2,920,677,432","1,525,233"
Dua Lipa - Don’t Start Now,"2,919,807,824","725,407"
Taylor Swift - Cruel Summer,"2,885,945,003","1,275,776"
Juice WRLD - Lucid Dreams,"2,877,769,028","836,521"
Macklemore - Can't Hold Us,"2,870,812,745","1,446,315"
Travis Scott - goosebumps,"2,825,090,792","870,758"
Post Malone - Circles,"2,817,296,573","914,900"
Queen - Bohemian Rhapsody,"2,789,792,478","983,077"
The Weeknd - Die For You,"2,776,983,788","1,396,886"
Drake - God's Plan,"2,769,271,516","696,344"
Ed Sheeran - Thinking out Loud,"2,766,051,776","959,935"
Justin Bieber - Love Yourself,"2,763,527,200","876,093"
Lady Gaga - Shallow,"2,759,616,546","1,145,330"
Coldplay - Viva La Vida,"2,744,057,615","1,779,778"
Bruno Mars - Just the Way You Are,"2,736,435,004","1,229,193"
Billie Eilish - bad guy,"2,723,653,203","531,727"
John Legend - All of Me,"2,722,312,311","1,004,672"
Avicii - Wake Me Up,"2,711,728,353","1,145,193"
Imagine Dragons - Thunder,"2,707,319,599","763,441"
Imagine Dragons - Demons,"2,668,671,456","948,758"
The Weeknd - The Hills,"2,651,584,078","942,439"
Bruno Mars - Locked Out of Heaven,"2,646,993,300","1,118,238"
Twenty One Pilots - Stressed Out,"2,646,262,336","999,106"
The Police - Every Breath You Take,"2,642,207,122","2,017,237"
Bruno Mars - When I Was Your Man,"2,635,560,095","957,791"
Bruno Mars - That's What I Like,"2,629,378,946","956,555"
Kendrick Lamar - HUMBLE.,"2,626,644,389","1,009,672"
Eminem - Without Me,"2,624,842,258","1,170,195"
The Killers - Mr. Brightside,"2,616,471,489","1,357,690"
J. Cole - No Role Modelz,"2,578,797,872","817,721"
Arctic Monkeys - Do I Wanna Know?,"2,571,389,095","1,092,178"
Linkin Park - In the End,"2,556,775,086","1,449,355"
Eminem - Lose Yourself,"2,551,115,665","916,686"
Passenger - Let Her Go,"2,544,176,978","941,130"
Miley Cyrus - Flowers,"2,528,581,541","943,988"
Ariana Grande - 7 rings,"2,526,055,382","600,382"
Billie Eilish - BIRDS OF A FEATHER,"2,524,762,286","4,690,173"
French Montana - Unforgettable,"2,502,047,297","1,081,773"
DJ Snake - Let Me Love You,"2,496,222,113","1,067,731"
Olivia Rodrigo - drivers license,"2,491,120,698","931,723"
Shawn Mendes - Treat You Better,"2,486,828,276","811,504"
SZA - Kill Bill,"2,478,471,521","949,571"
Lady Gaga - Die With A Smile,"2,448,740,345","5,142,710"
Calvin Harris - One Kiss,"2,447,332,008","621,153"
Justin Bieber - Sorry,"2,426,487,358","906,602"
Olivia Rodrigo - good 4 u,"2,421,731,370","614,924"
Journey - Don't Stop Believin',"2,408,161,168","1,412,618"
Shawn Mendes - There's Nothing Holdin' Me Back,"2,405,003,936","920,560"
Nirvana - Smells Like Teen Spirit,"2,401,227,514","1,210,135"
Marshmello - Happier,"2,395,405,889","571,418"
XXXTENTACION - SAD!,"2,379,250,814","444,686"
Elton John - Cold Heart,"2,369,851,614","936,249"
XXXTENTACION - Jocelyn Flores,"2,366,123,213","390,881"
Travis Scott - SICKO MODE,"2,362,836,728","687,270"
The Goo Goo Dolls - Iris,"2,359,072,068","2,187,832"
"Tyler, The Creator - See You Again","2,354,129,104","1,965,304"
Major Lazer - Lean On,"2,351,086,175","789,267"
The Weeknd - Save Your Tears,"2,346,065,938","880,401"
Jung Kook - Seven,"2,345,587,911","1,961,972"
Lil Uzi Vert - XO Tour Llif3,"2,336,356,309","460,110"
Coldplay - The Scientist,"2,335,321,792","1,278,308"
Oasis - Wonderwall,"2,334,031,700","1,090,498"
Kendrick Lamar - All The Stars,"2,319,797,241","2,296,682"
Queen - Don't Stop Me Now,"2,316,608,679","908,744"
Dua Lipa - Levitating,"2,316,422,227","647,126"
Mark Ronson - Uptown Funk,"2,313,712,655","1,043,765"
a-ha - Take on Me,"2,313,659,687","1,266,916"
Dua Lipa - New Rules,"2,311,801,321","672,649"
Sam Smith - Too Good At Goodbyes,"2,300,417,798","501,551"
Sam Smith - Stay With Me,"2,290,996,320","599,848"
Adele - Someone Like You,"2,287,979,430","823,841"
Camila Cabello - Havana,"2,279,266,381","619,571"
Maroon 5 - Memories,"2,258,636,176","644,200"
Halsey - Without Me,"2,252,223,243","592,908"
Guns N' Roses - Sweet Child O' Mine,"2,246,059,680","1,103,512"
Linkin Park - Numb,"2,235,947,468","1,202,289"
Eminem - Till I Collapse,"2,224,868,847","613,135"
Sabrina Carpenter - Espresso,"2,220,529,436","2,961,941"
Arctic Monkeys - 505,"2,214,768,553","1,747,418"
Maroon 5 - Payphone,"2,208,758,787","1,264,121"
Bad Bunny - DÁKITI,"2,205,171,731","755,259"
Charlie Puth - We Don't Talk Anymore,"2,187,646,944","851,294"
Lewis Capaldi - Before You Go,"2,185,544,156","716,943"
Lukas Graham - 7 Years,"2,178,408,974","971,478"
Shawn Mendes - Stitches,"2,178,288,435","787,985"
Mariah Carey - All I Want for Christmas Is You,"2,174,895,337","69,940"
Sam Smith - I'm Not The Only One,"2,170,060,972","688,397"
Alan Walker - Faded,"2,169,677,554","483,414"
Billie Eilish - when the party's over,"2,168,342,962","923,041"
Lil Nas X - INDUSTRY BABY,"2,163,901,592","431,097"
Mike Posner - I Took A Pill In Ibiza,"2,160,585,442","568,923"
Queen - Another One Bites The Dust,"2,157,953,154","688,363"
Foster The People - Pumped Up Kicks,"2,157,262,818","929,668"
